species_plant,mico,,,,
Hedysarum spinosissimum,AM,,,,
Helianthemum almeriense,EM,,,,
Helianthemum alpestre,EM,,,,
Helianthemum apenninum,EM,,,,
Helianthemum canum,EM,,,,
Helianthemum guttatum,EM,,,,
Helianthemum nummularium,EM,,,,
Helianthemum ovatum,EM,,,,
Helianthus annuus,AM,,,,
Helianthus maximiliani,AM,,,,
Helianthus niveus,AM,,,,
Helianthus tuberosus,AM,,,,
Helichrysum arenarium,AM,,,,
Helichrysum bracteatum,AM,,,,
Helichrysum cephaloideum,AM,,,,
Helichrysum italicum,AM,,,,
Helichrysum stoechas,AM,,,,
Heliconia psittacorum,AM,,,,
Helictotrichon desertorum,AM,,,,
Helictotrichon hookeri,AM,,,,
Helictotrichon pratense,AM,,,,
Helictotrichon pubescens,AM,,,,
Helictotrichon versicolor,AM,,,,
Heliocarpus americanus,AM,,,,
Heliocarpus appendiculatus,AM,,,,
Heliocarpus pallidus,AM,,,,
Heliotropium anomalum,AM,,,,
Heliotropium curassavicum,AM,,,,
Heliotropium dasycarpum,NM,,,,
Helleborus caucasicus,AM,,,,
Helleborus foetidus,AM,,,,
Helleborus niger,AM,,,,
Hellenia speciosa,AM,,,,
Hemarthria compressa,AM,,,,
Hemerocallis lilioasphodelus,AM,,,,
Hemisphaera circassica,NM,,,,
Hepatica nobilis,AM,,,,
Heracleum asperum,AM,,,,
Heracleum calcareum,NM,,,,
Heracleum chorodanum,AM,,,,
Heracleum lehmannianum,AM,,,,
Heracleum mantegazzianum,AM,,,,
Heracleum pubescens,AM,,,,
Heracleum sibiricum,AM,,,,
Heracleum sphondylium,AMNM,,,,
Hesperis matronalis,AMNM,,,,
Hesperis sibirica,NM,,,,
Hesperocyparis arizonica,AM,,,,
Hesperocyparis goveniana,AM,,,,
Heteropogon contortus,AM,,,,
Hevea brasiliensis,AM,,,,
Hexalobus crispiflorus,AM,,,,
Hibbertia serpyllifolia,AM,,,,
Hibiscus asper,AM,,,,
Hibiscus rosa-sinensis,AM,,,,
Hieracium albiflorum,AM,,,,
Hieracium alpinum,AMNM,,,,
Hieracium aurantiacum,AM,,,,
Hieracium bifidum,AM,,,,
Hieracium caesiifolium,AM,,,,
Hieracium caespitosum,AM,,,,
Hieracium echioides,AM,,,,
Hieracium hjeltii,AM,,,,
Hieracium hoppeanum,AM,,,,
Hieracium lachenalii,AM,,,,
Hieracium lactucella,AM,,,,
Hieracium laevigatum,AMNM,,,,
Hieracium longipilum,AM,,,,
Hieracium murorum,AMNM,,,,
Hieracium oistophyllum,AM,,,,
Hieracium pilosella,AM,,,,
Hieracium prenanthoides,AM,,,,
Hieracium subaundum,AM,,,,
Hieracium subinforme,AMNM,,,,
Hieracium subpellucidum,AM,,,,
Hieracium umbellatum,AM,,,,
Hieracium umbrosum,AM,,,,
Hieracium villosum,AM,,,,
Hieracium virosum,AM,,,,
Hieracium vulgatum,AMNM,,,,
Hierochloe odorata,AMNM,,,,
Hieronyma alchorneoides,AM,,,,
Hillebrandia sandwicensis,AM,,,,
Hippocrepis comosa,AM,,,,
Hippocrepis unisiliquosa,AM,,,,
Hippophae rhamnoides,AMNM,,,,
Hippophae tibetana,AM,,,,
Hirschfeldia incana,AMNM,,,,
Holcus lanatus,AMNM,,,,
Holcus mollis,AM,,,,
Holocalyx balansae,AM,,,,
Holosteum glutinosum,NM,,,,
Holosteum umbellatum,NM,,,,
Homogyne alpina,AM,,,,
Homolepis aturensis,AM,,,,
Honckenya peploides,NM,,,,
Hopea beccariana,EM,,,,
Hopea dryobalanoides,EM,,,,
Hopea mengarawan,NM,,,,
Horaninovia minor,NM,,,,
Horaninovia ulicina,NM,,,,
Hordelymus europaeus,AM,,,,
Hordeum brachyantherum,AM,,,,
Hordeum brevisubulatum,AM,,,,
Hordeum bulbosum,AM,,,,
Hordeum comosum,AM,,,,
Hordeum distichon,AM,,,,
Hordeum jubatum,AM,,,,
Hordeum murinum,AM,,,,
Hordeum pusillum,AM,,,,
Hordeum sativum,AM,,,,
Hordeum turkestanicum,AM,,,,
Hordeum violaceum,AM,,,,
Hordeum vulgare,AMNM,,,,
Hornungia alpina,NM,,,,
Horsfieldia kingii,AM,,,,
Horsfieldia prainii,AM,,,,
Hortia regia,AM,,,,
Hottonia palustris,AMNM,,,,
Hovenia dulcis,AM,,,,
Hoya carnosa,AM,,,,
Humulus lupulus,AMNM,,,,
Hyacinthoides non-scripta,AM,,,,
Hyalopoa pontica,NM,,,,
Hydrangea hortensis,AM,,,,
Hydrilla verticillata,NM,,,,
Hydrocotyle bonariensis,AM,,,,
Hydrocotyle novae-zeelandiae,AM,,,,
Hydrocotyle vulgaris,AMNM,,,,
Hydrosme rivieri,AM,,,,
Hylotelephium telephium,NM,,,,
Hymenachne hemitomon,AM,,,,
Hymenaea courbaril,AMNM,,,,
Hyoscyamus pusillus,AM,,,,
Hypecoum pendulum,NM,,,,
Hypericum calycinum,NM,,,,
Hypericum elegans,AM,,,,
Hypericum hirsutum,NM,,,,
Hypericum humifusum,NM,,,,
Hypericum linarioides,AM,,,,
Hypericum maculatum,AM,,,,
Hypericum montanum,NM,,,,
Hypericum perforatum,AMNM,,,,
Hypericum pulchrum,AM,,,,
Hypericum scabrum,AMNM,,,,
Hypericum tetrapterum,AMNM,,,,
Hypochaeris glabra,AM,,,,
Hypochaeris maculata,AM,,,,
Hypochaeris radicata,AM,,,,
Hypochoeris achyrophorus,AM,,,,
Hypogomphia turkestana,AM,,,,
Hypolytrum bullatum,AM,,,,
Hypolytrum pulchrum,AM,,,,
Hyssopus officinalis,AM,,,,
Iberis amara,AMNM,,,,
Ilex aquifolium,AM,,,,
Ilex cassine,AM,,,,
Ilex colchica,AM,,,,
Ilex opaca,AM,,,,
Ilex paraguariensis,AM,,,,
Ilex verticillata,AM,,,,
Illicium floridanum,AM,,,,
Illicium verum,AM,,,,
Impatiens balsamina,AMNM,,,,
Impatiens capensis,AM,,,,
Impatiens glandulifera,AMNM,,,,
Impatiens mathildae,AM,,,,
Impatiens noli-tangere,AMNM,,,,
Impatiens parviflora,AMNM,,,,
Impatiens walleriana,AM,,,,
Imperata cylindrica,AM,,,,
Incarvillea arguta,AM,,,,
Indigofera brevidens,AM,,,,
Indigofera cordifolia,AM,,,,
Indigofera kirilowii,AM,,,,
Indigofera linifolia,AM,,,,
Indigofera sengalensis,AM,,,,
Indigofera stenophylha,AM,,,,
Indigofera tinctoria,AM,,,,
Inga leiocalycina,AM,,,,
Inga marginata,AM,,,,
Inga nobilis,AM,,,,
Inga pezizifera,AM,,,,
Inga sessilis,AM,,,,
Inga striata,AM,,,,
Inga thibaudiana,AM,,,,
Inga uruguensis,AM,,,,
Intsia africana,EM,,,,
Intsia palembanica,EM,,,,
Inula auriculata,AM,,,,
Inula britannica,AM,,,,
Inula conyza,AM,,,,
Inula conyzae,AM,,,,
Inula grandiflora,AM,,,,
Inula grandis,AM,,,,
Inula helenium,AM,,,,
Inula hirta,AM,,,,
Inula orientalis,AM,,,,
Inula rhizocephala,AM,,,,
Inula salicina,AM,,,,
Ipomoea arborescens,AM,,,,
Ipomoea batatas,AM,,,,
Ipomoea imperati,AM,,,,
Ipomoea pes-caprae,AM,,,,
Iranecio taraxacifolius,AM,,,,
Iria consanguinea,AM,,,,
Iris germanica,AM,,,,
Iris hoogiana,AM,,,,
Iris korolkowi,AM,,,,
Iris lactea,AM,,,,
Iris pseudacorus,AMNM,,,,
Iris pumila,AM,,,,
Iris ruthenica,AM,,,,
Iris sibirica,AM,,,,
Iris songarica,AM,,,,
Iris tenuifolia,AM,,,,
Iris versicolor,AM,,,,
Irvingia gabonensis,AM,,,,
Isatis emarginata,NM,,,,
Isatis minima,NM,,,,
Isatis tinctoria,NM,,,,
Ischaemum anthephoroides,AM,,,,
Ischaemum australe,AM,,,,
Ischaemum byrone,AM,,,,
Ischaemum muticum,AM,,,,
Ischnosiphon gracilis,AM,,,,
Isolepis aucklandica,NM,,,,
Isolepis diabolica,NM,,,,
Ixiolirion tataricum,AMNM,,,,
Jacaranda mimosifolia,AM,,,,
Jacaranda puberula,AM,,,,
Jacaratia spinosa,AM,,,,
Jacobaea maritima,AMNM,,,,
Jacquemontia ovalifolia,AM,,,,
Jacquemontia reclinata,AM,,,,
Jasione montana,AMNM,,,,
Jasminum fruticans,NM,,,,
Jasminum laurifolium,AM,,,,
Jasminum sambac,AM,,,,
Jasminum subglandulosum,AM,,,,
Jatropha cinerea,AM,,,,
Jatropha cuneata,AM,,,,
Jaumea carnosa,AM,,,,
Juglans alba,EM,,,,
Juglans cinerea,AM,,,,
Juglans mandshurica,AMNM,,,,
Juglans nigra,AMNM,,,,
Juglans regia,EM,,,,
Julbernardia seretii,EM,,,,
Juncus acutiflorus,AMNM,,,,
Juncus alpinoarticulatus,AMNM,,,,
Juncus arcticus,AMNM,,,,
Juncus articulatus,AMNM,,,,
Juncus biglumis,NM,,,,
Juncus bufonius,AMNM,,,,
Juncus bulbosus,NM,,,,
Juncus castaneus,NM,,,,
Juncus conglomeratus,NM,,,,
Juncus dudleyi,AMNM,,,,
Juncus effusus,AMNM,,,,
Juncus ensifolius,NM,,,,
Juncus filiformis,AMNM,,,,
Juncus geniculatus,NM,,,,
Juncus gerardii,AMNM,,,,
Juncus inflexus,AMNM,,,,
Juncus maritimus,NM,,,,
Juncus nodosus,AM,,,,
Juncus planifolius,AM,,,,
Juncus roemerianus,AM,,,,
Juncus scheuchzerioides,AMNM,,,,
Juncus squarrosus,AMNM,,,,
Juncus stygius,NM,,,,
Juncus tenuis,AMNM,,,,
Juncus torreyi,AM,,,,
Juncus trifidus,AMNM,,,,
Juncus triglumis,NM,,,,
Juniperus chinensis,AM,,,,
Juniperus communis,AM,,,,
Juniperus conferta,AM,,,,
Juniperus davurica,AM,,,,
Juniperus deppeana,AM,,,,
Juniperus excelsa,AM,,,,
Juniperus formosana,AM,,,,
Juniperus horizontalis,AM,,,,
Juniperus indica,AM,,,,
Juniperus monosperma,AM,,,,
Juniperus occidentalis,AM,,,,
Juniperus oxycedrus,AM,,,,
Juniperus procumbens,AM,,,,
Juniperus pseudosabina,AM,,,,
Juniperus rigida,AM,,,,
Juniperus sabina,AM,,,,
Juniperus scopulorum,AM,,,,
Juniperus semiglobosa,AM,,,,
Juniperus squamata,AM,,,,
Juniperus virginiana,AM,,,,
Juno narbutii,AM,,,,
Jurinea moschus,AM,,,,
Jurinea multiloba,AM,,,,
Justicia adhatoda,NM,,,,
Justicia magnifica,NM,,,,
Justicia pohliana,NM,,,,
Justicia procumbens,AM,,,,
Kalanchoe daigremontiana,AM,,,,
Kalanchoe tomentosa,NM,,,,
Kalmia latifolia,NM,,,,
Kalopanax septemlobus,NM,,,,
Karelinia caspia,AM,,,,
Kemulariella caucasica,AM,,,,
Khaya ivorensis,AM,,,,
Kickxia spuria,AM,,,,
Klasea marginata,AM,,,,
Kleinia pendula,AM,,,,
Knautia arvensis,AM,,,,
Knautia kitaibelii,AM,,,,
Knautia montana,AM,,,,
Kobresia caricina,NM,,,,
Kobresia myosuroides,EM,,,,
Kobresia schoenoides,NM,,,,
Kobresia simpliciuscula,NM,,,,
Kobresia stenocarpa,NM,,,,
Kochia odontoptera,NM,,,,
Kochia prostrata,NM,,,,
Kochia scoparia,NM,,,,
Koeleria asiatica,AM,,,,
Koeleria callieri,AM,,,,
Koeleria eriostachya,AMNM,,,,
Koeleria glauca,AMNM,,,,
Koeleria lobata,NM,,,,
Koeleria luerssenii,NM,,,,
Koeleria pyramidata,AMNM,,,,
Koeleria vallesiana,AM,,,,
Koeleria vurilochensis,NM,,,,
Koelpinia linearis,AMNM,,,,
Kohautia aspera,AM,,,,
Kokia kauaiensis,AM,,,,
Koompassia malacensis,NM,,,,
Krameria paucifolia,AM,,,,
Kummerowia striata,AM,,,,
Kunzea capitata,EM,,,,
Kyllinga brevifolia,AMNM,,,,
Kyllinga bulbosa,NM,,,,
Kyllinga nemoralis,AMNM,,,,
Lablab purpureus,AM,,,,
Laburnum anagyroides,AM,,,,
Lactuca hirsuta,AM,,,,
Lactuca sativa,AM,,,,
Lactuca serriola,AM,,,,
Lactuca tatarica,AM,,,,
Laetia procera,AM,,,,
Lafoensia pacari,AM,,,,
Lagarosiphon major,AM,,,,
Lagarostrobos franklinii,AM,,,,
Lagenocarpus guianensis,AM,,,,
Lagenocarpus sphacelata,NM,,,,
Laggera crispata,AM,,,,
Lagochilus diacanthophyllus,AM,,,,
Lagotis korolkowi,AM,,,,
Lagotis stelleri,NM,,,,
Lagotis uralensis,AM,,,,
Lagurostemon pygmaeus,AM,,,,
Lagurus cylindricus,AM,,,,
Lagurus ovatus,AM,,,,
Lallemantia royleana,AM,,,,
Lamarckia aurea,AM,,,,
Lamium album,AMNM,,,,
Lamium amplexicaule,AM,,,,
Lamium galeobdolon,AM,,,,
Lamium purpureum,AM,,,,
Lamium tomentosum,NM,,,,
Lamourouxia rhinanthifolia,NM,,,,
Landolphia heudelotii,NM,,,,
Lansium domesticum,AM,,,,
Lantana camara,AM,,,,
Lappula myosotis,NM,,,,
Lappula semiglabra,AM,,,,
Lappula spinocarpos,NM,,,,
Lappula squarrosa,AM,,,,
Lapsana communis,AM,,,,
Lapsana grandiflora,AM,,,,
Lapsana intermedia,AM,,,,
Larix americana,EM,,,,
Larix czekanowskii,EM,,,,
Larix decidua,EM,,,,
Larix eurolepis,EM,,,,
Larix gmelinii,EM,,,,
Larix griffithii,EM,,,,
Larix kaempferi,EM,,,,
Larix kamtschatica,EM,,,,
Larix laricina,EM,,,,
Larix occidentalis,EM,,,,
Larix olgensis,EM,,,,
Larix potaninii,EM,,,,
Larix sibirica,EM,,,,
Larix x,EM,,,,
Larrea tridentata,AM,,,,
Laser trilobum,AM,,,,
Laserpitium hispidum,AM,,,,
Laserpitium siler,AM,,,,
Lasianthus hookeri,AM,,,,
Lasianthus sikkimensis,AM,,,,
Lasianthus verticillatus,AM,,,,
Lasiurus scindicus,AM,,,,
Lathyrus aphaca,AM,,,,
Lathyrus cyaneus,AM,,,,
Lathyrus gmelini,AMNM,,,,
Lathyrus japonicus,AM,,,,
Lathyrus linifolius,AM,,,,
Lathyrus maritimus,AM,,,,
Lathyrus montanus,AM,,,,
Lathyrus mulkak,AM,,,,
Lathyrus niger,AMNM,,,,
Lathyrus odoratus,AM,,,,
Lathyrus pisiformis,AM,,,,
Lathyrus pratensis,AMNM,,,,
Lathyrus sativus,AM,,,,
Lathyrus sylvestris,AM,,,,
Lathyrus tuberosus,AM,,,,
Lathyrus vernus,AM,,,,
Launaea sarmentosa,AM,,,,
Laurus nobilis,AM,,,,
Lavandula angustifolia,AM,,,,
Lavandula officinalis,AM,,,,
Lavandula pedunculata,AM,,,,
Lavandula spica,AM,,,,
Leandra dasytricha,AM,,,,
Ledum palustre,NM,,,,
Leea compactiflora,AM,,,,
Leea indica,AM,,,,
Leea macrophylla,AM,,,,
Leersia hexandra,AM,,,,
Leersia oryzoides,AMNM,,,,
Leiospora bellidifolia,NM,,,,
Lembotropis nigricans,AM,,,,
Lemna gibba,NM,,,,
Lemna minor,NM,,,,
Lemna trisulca,NM,,,,
Lens culinaris,AM,,,,
Leontice incerta,AMNM,,,,
Leontodon autumnalis,AM,,,,
Leontodon caucasicus,AM,,,,
Leontodon hispidus,AM,,,,
Leontopodium brachyactis,AM,,,,
Leontopodium ochroleucum,AM,,,,
Leopoldia caucasica,AM,,,,
Leopoldia tenuiflora,AM,,,,
Lepechiniella sarawschanica,NM,,,,
Lepidium bidentatum,AM,,,,
Lepidium campestre,NM,,,,
Lepidium coronopifolium,NM,,,,
Lepidium densiflorum,NM,,,,
Lepidium didymum,AM,,,,
Lepidium draba,NM,,,,
Lepidium latifolium,NM,,,,
Lepidium perfoliatum,NM,,,,
Lepidium phlebopetalum,NM,,,,
Lepidium ruderale,NM,,,,
Lepidium sativum,NM,,,,
Lepidium serra,NM,,,,
Lepidium virginicum,AMNM,,,,
Lepidosperma lineare,AM,,,,
Lepidozamia hopei,AM,,,,
Lepisanthes perrieri,AM,,,,
Leplaea cedrata,AM,,,,
Leptaleum filifolium,NM,,,,
Leptochloa capillacea,NM,,,,
Leptospermum flavescens,EM,,,,
Leptospermum lanigerum,EM,,,,
Leptospermum scoparium,AM,,,,
Leptovignea elongata,NM,,,,
Lerouxia nemorum,AMNM,,,,
Lespedeza bicolor,AM,,,,
Lespedeza capitata,AM,,,,
Lespedeza cuneata,AM,,,,
Lespedeza sericea,AM,,,,
Leucaena diversifolia,AM,,,,
Leucaena leucocephala,AM,,,,
Leucaena retusa,AM,,,,
Leucaena trichodes,AM,,,,
Leucanthemopsis alpina,AMNM,,,,
Leucanthemum vulgare,AMNM,,,,
Leucas aspera,AM,,,,
Leuceria achillaeifolia,NM,,,,
Leucojum aestivum,AM,,,,
Leucojum vernum,AMNM,,,,
Leucopogon juniperinus,AM,,,,
Levisticum officinale,AM,,,,
Leymus akmolinensis,AM,,,,
Leymus arenarius,AMNM,,,,
Leymus cinereus,AM,,,,
Leymus condensatus,AM,,,,
Leymus lanatus,AMNM,,,,
Leymus multicaulis,AM,,,,
Leymus paboanus,AM,,,,
Leymus racemosus,AM,,,,
Liatris aspera,AM,,,,
Liatris laevigata,AM,,,,
Licania heteromorpha,AM,,,,
Licania laxiflora,AM,,,,
Licania platypus,AM,,,,
Ligularia alpigena,AM,,,,
Ligularia thomsonii,AM,,,,
Ligularia vellerea,AM,,,,
Ligusticum meum,AM,,,,
Ligustrum obtusifolium,NM,,,,
Ligustrum vulgare,AMNM,,,,
Lilium bulbiferum,AM,,,,
Lilium ledebourii,AM,,,,
Lilium martagon,AM,,,,
Lilium monadelphum,AM,,,,
Limonium caspium,AM,,,,
Limonium gmelinii,AM,,,,
Limonium otolepis,AM,,,,
Limonium suffruticosum,NM,,,,
Limonium vulgare,AMNM,,,,
Linaria alpina,AM,,,,
Linaria dalmatica,AM,,,,
Linaria repens,AMNM,,,,
Linaria supina,AMNM,,,,
Linaria vulgaris,AMNM,,,,
Lindelofia olgae,AM,,,,
Lindera benzoin,AM,,,,
Lindernia dubia,AM,,,,
Linnaea borealis,AM,,,,
Linum altaicum,AM,,,,
Linum austriacum,AM,,,,
Linum bienne,AM,,,,
Linum catharticum,AMNM,,,,
Linum flavum,AM,,,,
Linum grandiflorum,AM,,,,
Linum macrorhizum,AM,,,,
Linum orizabae,AM,,,,
Linum perenne,AMNM,,,,
Linum strictum,AM,,,,
Linum sulcatum,AM,,,,
Linum trigynum,AM,,,,
Linum usitatissimum,AMNM,,,,
Lipocarpha mexicana,AM,,,,
Lipocarpha squarrosa,AM,,,,
Lipochaeta connata,AM,,,,
Lippia graveolens,AM,,,,
Liquidambar styraciflua,AM,,,,
Lirianthe henryi,AM,,,,
Liriodendron chinense,AM,,,,
Liriodendron tulipifera,AM,,,,
Litchi chinensis,AM,,,,
Lithocarpus densiflorus,EM,,,,
Lithocarpus variolosus,NM,,,,
Lithospermum arvense,NM,,,,
Lithospermum officinale,AMNM,,,,
Lithraea molleoides,AM,,,,
Litsea dilleniifolia,AM,,,,
Litsea liyuyingii,AM,,,,
Littorella uniflora,AM,,,,
Litwinowia tenuissima,NM,,,,
Livistona chinensis,AM,,,,
Lloydia serotina,AM,,,,
Loasa bergii,NM,,,,
Lobelia cardinalis,AM,,,,
Lobelia dortmanna,AM,,,,
Lobelia erinus,AM,,,,
Lobivia silvestrii,NM,,,,
Lobularia maritima,NM,,,,
Lolium multiflorum,AM,,,,
Lolium perenne,AM,,,,
Lolium rigidum,AM,,,,
Lolium subulatum,AM,,,,
Lolium temulentum,AMNM,,,,
Lomatia hirsuta,NM,,,,
Lonchocarpus nitidus,EM,,,,
Loncomelos pyrenaicum,AM,,,,
Lonicera caerulea,AM,,,,
Lonicera caprifolium,AM,,,,
Lonicera hispida,AM,,,,
Lonicera implexa,AM,,,,
Lonicera involucrata,AM,,,,
Lonicera korolkovii,AM,,,,
Lonicera maackii,AM,,,,
Lonicera maximowiczii,AMNM,,,,
Lonicera microphylla,AM,,,,
Lonicera nummulariifolia,AM,,,,
Lonicera pallasii,AMNM,,,,
Lonicera periclymenum,AM,,,,
Lonicera ruprechtiana,AM,,,,
Lonicera tatarica,AMNM,,,,
Lonicera webbiana,AMNM,,,,
Lonicera xylosteum,AMNM,,,,
Lophatherum gracile,AM,,,,
Lophira alata,AM,,,,
Lophocereus schottii,AM,,,,
Lotus corniculatus,AMNM,,,,
Lotus glaber,AM,,,,
Lotus pedunculatus,AM,,,,
Lotus tenuis,AM,,,,
Lovoa trichilioides,AM,,,,
Ludwigia palustris,AM,,,,
Ludwigia prostrata,AM,,,,
Luehea candicans,AM,,,,
Luehea candida,AM,,,,
Luehea divaricata,AM,,,,
Luehea grandiflora,AM,,,,
Luehea seemannii,AM,,,,
Luma apiculata,AM,,,,
Lunaria dolichoceras,AM,,,,
Lunaria meyeri,NM,,,,
Lunaria peducellata,AM,,,,
Lunaria rediviva,NM,,,,
Lupinus albus,NM,,,,
Lupinus angustifolius,AMNM,,,,
Lupinus arcticus,NM,,,,
Lupinus luteus,AMNM,,,,
Lupinus mutabilis,AM,,,,
Lupinus polyphyllus,AMNM,,,,
Luzula campestris,AMNM,,,,
Luzula hawaiiensis,AM,,,,
Luzula luzuloides,NM,,,,
Luzula multiflora,NM,,,,
Luzula nivea,NM,,,,
Luzula pallescens,NM,,,,
Luzula pilosa,AMNM,,,,
Luzula pseudosudetica,NM,,,,
Luzula sibirica,NM,,,,
Luzula spadicea,NM,,,,
Luzula spicata,AMNM,,,,
Luzula sudetica,NM,,,,
Luzula sylvatica,AMNM,,,,
Lyallia kerguelensis,NM,,,,
Lycium barbarum,AM,,,,
Lycium fremontii,AM,,,,
Lycium sandwicense,AM,,,,
Lycopersicon esculentum,AM,,,,
Lycopus europaeus,AMNM,,,,
Lygeum spartum,AM,,,,
Lyginia barbata,AM,,,,
Lygos sphaerocarpa,AM,,,,
Lysiloma candidum,AM,,,,
Lysimachia japonica,AM,,,,
Lysimachia linum-stellatum,AM,,,,
Lysimachia nummularia,AMNM,,,,
Lysimachia terrestris,AMNM,,,,
Lysimachia thyrsiflora,AMNM,,,,
Lysimachia verticillaris,AM,,,,
Lysimachia vulgaris,AMNM,,,,
Lysiphyllum diphyllum,NM,,,,
Lythrum alatum,AM,,,,
Lythrum hyssopifolia,NM,,,,
Lythrum maritimum,AM,,,,
Lythrum salicaria,AMNM,,,,
Lythrum virgatum,AM,,,,
Maackia amurensis,AMNM,,,,
Macaranga denticulata,AM,,,,
Macaranga indica,AM,,,,
Machaerina angustifolia,NM,,,,
Machaerina gahniaeformis,NM,,,,
Machaerina mariscoides,AM,,,,
Machaerium stipitatum,AM,,,,
Macleaya cordata,AM,,,,
Macrocarpium mas,AM,,,,
Macrolobium bifolium,AM,,,,
Macrolobium suaveolens,AM,,,,
Macropanax dispermus,AM,,,,
Macroptilium atropurpureum,AM,,,,
Macrosciadium alatum,AM,,,,
Macrotyloma uniflorum,AM,,,,
Macrozamia riedlei,AM,,,,
Maesa indica,AM,,,,
Magnolia grandiflora,AM,,,,
Magnolia soulangeana,AM,,,,
Magnolia tripetala,AM,,,,
Magnolia virginiana,AM,,,,
Mahonia japonica,AM,,,,
Maianthemum bifolium,AMNM,,,,
Malcolmia boissieriana,NM,,,,
Malcolmia grandiflora,NM,,,,
Malcolmia turkestanica,NM,,,,
Mallotus japonicus,AM,,,,
Malus baccata,AMNM,,,,
Malus communis,AM,,,,
Malus mandshurica,NM,,,,
Malus prunifolia,AM,,,,
Malus pumila,AM,,,,
Malus sylvestris,AMNM,,,,
Malva neglecta,AM,,,,
Malva sylvestris,AM,,,,
Mammillaria carnea,AM,,,,
Mammillaria dioica,AM,,,,
Mammillaria elongata,NM,,,,
Mammillaria lanata,NM,,,,
Mammillaria prolifera,NM,,,,
Mandevilla sanderi,AM,,,,
Manihot esculenta,AM,,,,
Margbensonia elata,AM,,,,
Mariscus clarkei,AM,,,,
Mariscus cyperinus,NM,,,,
Mariscus dubius,NM,,,,
Marlierea macrophylla,AM,,,,
Marlierea schomburgkiana,AM,,,,
Marrubium leonuroides,AM,,,,
Marrubium vulgare,AM,,,,
Matayba guianensis,AM,,,,
Matricaria breviradiata,AM,,,,
Matricaria caucasica,NM,,,,
Matricaria chamomilla,AMNM,,,,
Matricaria matricarioides,AM,,,,
Matthiola incana,AMNM,,,,
Matthiola longipetala,NM,,,,
Matthiola robusta,NM,,,,
Maytenus boaria,AM,,,,
Maytenus chubutensis,AM,,,,
Maytenus guyanensis,AM,,,,
Maytenus magellanica,AM,,,,
Maytenus phyllanthoides,AM,,,,
Medicago falcata,AM,,,,
Medicago hemicycla,AM,,,,
Medicago littoralis,AM,,,,
Medicago lupulina,AM,,,,
Medicago marina,AM,,,,
Medicago minima,AM,,,,
Medicago platycarpos,AM,,,,
Medicago polymorpha,AM,,,,
Medicago sativa,AM,,,,
Megacarpaea megalocarpa,NM,,,,
Megathyrsus maximus,AM,,,,
Melaleuca quinquenervia,EM,,,,
Melampyrum arvense,NM,,,,
Melampyrum cristatum,NM,,,,
Melampyrum pratense,AMNM,,,,
Melampyrum sylvaticum,NM,,,,
Melastoma malabathricum,AMNM,,,,
Melia azedarach,AMNM,,,,
Melica altissima,AM,,,,
Melica ciliata,AM,,,,
Melica nutans,AMNM,,,,
Melica persica,AM,,,,
Melica uniflora,AMNM,,,,
Melicope barbigera,AM,,,,
Melilotus albus,AM,,,,
Melilotus indicus,AM,,,,
Melilotus officinalis,AM,,,,
Melinis repens,AM,,,,
Melissa officinalis,AM,,,,
Melittis melissophyllum,AMNM,,,,
Melosmon orientale,AM,,,,
Menispermum dauricum,AM,,,,
Mentha aquatica,AMNM,,,,
Mentha arvensis,AMNM,,,,
Mentha asiatica,AM,,,,
Mentha cardiaca,AM,,,,
Mentha longifolia,AM,,,,
Mentha piperita,AMNM,,,,
Mentha pulegium,AM,,,,
Mentha spicata,AM,,,,
Mentha x,AM,,,,
Menyanthes trifoliata,AMNM,,,,
Mercurialis annua,AM,,,,
Merendera trigyna,AM,,,,
Mesomelaena pseudostygia,NM,,,,
Metadina trichotoma,AM,,,,
Metasequoia glyptostroboides,AM,,,,
Metrosideros polymorpha,AM,,,,
Michelia macrostachya,AM,,,,
Miconia bubalina,AM,,,,
Miconia mirabilis,AM,,,,
Miconia ruficalyx,AM,,,,
Micranthes foliolosa,AM,,,,
Micranthes hieraciifolia,AMNM,,,,
Micranthes nivalis,NM,,,,
Micranthes stellaris,NM,,,,
Microberlinia bisulcata,EM,,,,
Microbiota decussata,AM,,,,
Microlaena stipoides,AM,,,,
Micropholis venulosa,AM,,,,
Microseris laciniata,AM,,,,
Microstegium ciliatum,AM,,,,
Microstegium vimineum,AM,,,,
Microthlaspi perfoliatum,NM,,,,
Milicia excelsa,AM,,,,
Milicia regia,AM,,,,
Milium effusum,AMNM,,,,
Milium schmidtianum,AM,,,,
Milium vernale,AM,,,,
Mimosa adenantheroides,AM,,,,
Mimosa bimucronata,AM,,,,
Mimosa biuncifera,AM,,,,
Mimosa calcicola,AM,,,,
Mimosa lacerata,AM,,,,
Mimosa luisana,AM,,,,
Mimosa polyantha,AM,,,,
Mimosa pudica,AM,,,,
Mimosa purpusii,AM,,,,
Mimosa quadrivalvis,AM,,,,
Mimosa scabrella,AM,,,,
Mimosa texana,AM,,,,
Mimulus ringens,AM,,,,
Minquartia guianensis,AM,,,,
Minuartia abchasica,NM,,,,
Minuartia aizoides,NM,,,,
Minuartia arctica,NM,,,,
Minuartia biebersteinii,NM,,,,
Minuartia biflora,NM,,,,
Minuartia colchica,NM,,,,
Minuartia hybrida,AM,,,,
Minuartia imbricata,NM,,,,
Minuartia litwinowii,NM,,,,
